# Path distance (Angstrom), Energy (eV), Uncertainty (eV)
0.000000000000000000e+00 0.000000000000000000e+00 1.215799800341158497e-02
2.179483549307724422e-01 7.893149840521473948e-03 1.246283821623870962e-02
4.368658980746534248e-01 2.423237094158992022e-02 1.600061741731423348e-02
6.578092022098868119e-01 3.972748260183500690e-02 1.517229421609116689e-02
8.815664836864420817e-01 5.112923837981853126e-02 1.123774429391798460e-02
1.108198699441927282e+00 5.691720506885999953e-02 1.060115383259420049e-02
1.322593458399230482e+00 5.437740588817696619e-02 1.089403052101938114e-02
1.539423521701923203e+00 4.160835903381965295e-02 1.282657017822517488e-02
1.757115250337554446e+00 2.305247392422948849e-02 1.376809272715040153e-02
1.975012340186905080e+00 7.448386937584317025e-03 1.274697771252269497e-02
2.192744934231453335e+00 3.720102130619018510e-03 1.378400567590534927e-02
